doc_id,words,sentences,ºÃ,ÀÖ,°§,Å­,¾å,¶ñ,¾ª
161,18,1,0,0,0,0,0,0,0
162,38,1,0,0,0,0,0,0,0
163,21,1,1,0,0,0,0,0,0
164,21,1,0,0,1,0,0,1,0
165,107,4,2,1,2,0,0,5,0
166,192,4,4,1,2,0,0,5,0
167,4,1,0,0,0,0,0,0,0
168,42,1,0,0,0,0,0,1,0
169,18,1,0,0,0,0,0,0,0
170,59,1,1,0,1,0,0,0,0
171,103,1,3,0,1,0,2,4,0
172,76,1,1,0,0,0,0,2,0
173,3,1,0,0,0,0,0,0,0
174,5,1,0,0,1,0,0,0,0
175,27,1,1,0,1,0,1,1,0
176,13,2,1,0,0,0,0,1,0
177,8,1,0,0,0,0,0,0,0
178,13,2,0,0,0,0,0,1,0
179,3,2,0,0,1,0,0,0,0
180,2,1,1,0,0,0,0,0,0
181,3,1,0,0,1,0,0,0,0
182,11,1,0,0,0,0,0,0,0
183,5,2,0,0,0,0,0,0,0
184,11,2,0,0,0,0,0,0,0
185,73,3,1,0,0,0,0,1,0
186,15,1,0,0,0,0,0,0,0
187,6,1,0,0,0,0,0,1,0
188,8,1,0,0,1,0,0,0,0
189,41,4,2,0,0,0,0,0,0
190,19,2,1,0,1,0,0,0,0
191,16,1,1,0,0,0,0,0,0
192,6,1,0,0,1,0,1,0,0
193,67,3,0,0,2,0,0,0,0
194,9,1,0,0,1,0,0,0,0
195,39,5,1,0,0,0,0,1,0
196,10,1,0,0,0,0,0,0,0
197,8,1,0,0,0,0,0,1,0
198,12,1,0,0,1,0,0,0,0
199,305,15,1,2,0,1,0,3,0
200,46,1,0,1,0,0,0,0,0
201,12,2,0,0,1,0,0,0,0
202,3,1,0,0,0,0,0,0,0
203,13,1,0,0,0,0,0,0,0
204,10,1,0,0,0,0,0,0,0
205,9,1,0,0,0,0,0,0,0
206,5,1,0,0,0,0,0,1,0
207,24,2,0,1,0,0,0,1,0
208,8,1,0,0,0,0,0,0,0
209,8,1,0,0,1,0,0,1,0
210,8,1,0,0,1,0,0,0,0
211,37,2,0,1,0,0,0,1,0
212,14,1,0,0,0,0,0,0,0
213,16,1,1,0,0,0,0,0,0
214,58,1,1,0,2,0,0,0,0
215,35,1,1,0,0,0,0,1,0
216,84,1,0,0,1,0,0,1,0
217,35,2,0,1,0,0,0,1,0
218,136,8,2,0,0,0,0,9,0
219,44,1,3,0,0,0,0,0,0
220,8,1,0,0,0,0,0,0,0
221,23,1,0,1,1,0,0,0,0
222,30,1,0,0,0,0,0,3,0
223,7,1,0,0,0,0,0,0,0
224,8,1,1,0,0,0,0,0,0
225,13,1,0,0,0,0,0,0,0
226,17,2,0,1,0,0,0,1,0
227,34,1,1,0,0,0,0,1,0
228,25,1,0,0,0,0,0,1,0
229,19,1,0,0,0,0,0,0,0
230,38,2,0,0,0,0,0,0,0
231,11,1,0,1,2,0,0,0,0
232,21,1,2,0,1,0,0,1,0
233,18,1,0,1,1,0,0,0,0
234,24,2,1,0,1,0,0,0,0
235,123,5,10,0,2,0,0,2,0
236,21,2,1,0,0,0,0,0,0
237,23,1,0,0,0,0,1,0,0
238,26,1,1,0,0,0,0,0,0
239,4,1,0,0,0,0,0,0,0
240,8,1,0,0,0,0,0,0,0
241,67,4,0,0,0,1,0,5,0
242,42,4,3,3,2,0,0,0,0
243,15,1,0,0,0,0,0,1,0
244,20,1,0,0,1,0,0,1,0
245,2,2,0,0,0,0,0,0,0
246,35,3,0,0,0,0,0,0,1
247,19,2,1,0,0,0,1,1,0
248,67,3,3,1,0,0,1,5,0
249,3,1,0,0,0,0,0,0,0
250,82,1,1,0,0,0,0,0,0
251,124,1,3,1,2,0,0,5,0
252,7,1,0,0,0,0,0,0,0
253,4,1,0,0,0,0,0,0,0
