doc_id,count_words,count_sentences,count_pos,count_neg,calculate_words,calculate_sentences,calculate_pos,calculate_neg
80952,10,1,0,1,10,1,0,4
80953,100,6,2,11,100,6,4.0,120.0
80954,28,1,5,0,28,1,84,0
80955,267,12,13,11,267,12,105.0,430.0
80956,15,1,0,0,15,1,0,0
80957,14,1,0,0,14,1,0,0
80958,18,1,1,2,18,1,15,19
80959,8,1,0,0,8,1,0,0
80960,37,1,6,0,37,1,91.0,0.0
80961,14,1,1,0,14,1,9.0,0.0
80962,41,1,1,2,41,1,19.5,20.0
80963,131,1,14,6,131,1,801.0,422.0
80964,10,1,0,0,10,1,0,0
80965,67,3,3,3,67,3,18.0,25.0
80966,12,1,1,0,12,1,8,0
80967,10,1,0,0,10,1,0,0
80968,12,1,1,0,12,1,3,0
80969,6,1,0,1,6,1,0,4
80970,27,1,5,0,27,1,81.0,0.0
80971,18,1,2,1,18,1,11,1
80972,9,1,0,0,9,1,0,0
80973,11,1,0,1,11,1,0,7
80974,57,1,9,3,57,1,255.0,164.0
80975,7,2,0,0,7,2,0,0
80976,7,2,1,0,7,2,1,0
80977,86,7,4,5,86,7,31.0,30.0
80978,64,2,10,2,64,2,124.5,36.0
80979,16,1,0,2,16,1,0,23
80980,19,1,2,0,19,1,18.0,0.0
80981,9,1,0,0,9,1,0,0
80982,102,4,0,7,102,4,0.0,67.0
80983,59,2,0,5,59,2,0.0,-24.0
80984,3,1,0,1,3,1,0.0,8.0
80985,17,1,0,0,17,1,0,0
80986,50,1,2,3,50,1,0.0,70.0
80987,33,1,3,1,33,1,0.0,3.0
80988,11,1,0,1,11,1,0,5
80989,8,1,1,1,8,1,4,2
80990,73,1,3,6,73,1,110.5,372.5
80991,10,1,0,0,10,1,0,0
80992,28,2,2,1,28,2,16,16
80993,27,2,2,0,27,2,16,0
80994,53,2,7,2,53,2,125.0,32.0
80995,37,3,4,1,37,3,27,3
80996,17,1,1,1,17,1,8,9
80997,52,1,2,2,52,1,172.0,36.0
80998,9,1,0,1,9,1,0,3
80999,35,1,0,18,35,1,0,342
81000,36,1,0,0,36,1,0,0
81001,28,3,0,2,28,3,0.0,12.0
81002,31,2,0,4,31,2,0.0,81.0
81003,11,1,1,0,11,1,15.0,0.0
81004,16,1,0,0,16,1,0,0
81005,10,1,1,1,10,1,2,1
81006,13,1,0,1,13,1,0,6
81007,12,1,0,0,12,1,0,0
81008,46,3,2,2,46,3,6.0,-1.0
81009,13,1,3,1,13,1,19,8
81010,7,1,1,0,7,1,2,0
81011,11,1,3,0,11,1,47.0,0.0
81012,34,1,1,1,34,1,46.0,0.0
81013,66,3,3,6,66,3,114.0,61.0
81014,12,2,0,1,12,2,0,1
81015,8,1,2,1,8,1,4,4
81016,52,4,3,0,52,4,-47.0,0.0
81017,9,1,1,1,9,1,6.0,3.0
81018,125,1,19,8,125,1,1046.0,496.0
81019,130,1,19,8,130,1,1075.0,516.0
81020,9,1,1,0,9,1,4,0
81021,15,1,1,0,15,1,7,0
81022,14,1,2,0,14,1,12,0
81023,46,1,1,3,46,1,11,98
81024,13,1,0,0,13,1,0,0
81025,8,1,0,0,8,1,0,0
81026,13,1,1,0,13,1,-1.0,0.0
81027,30,1,5,5,30,1,71.0,155.0
81028,12,1,1,2,12,1,10,8
81029,14,1,1,2,14,1,10,6
81030,16,1,0,1,16,1,0,4
81031,18,1,1,1,18,1,6,15
81032,17,1,0,1,17,1,0,9
81033,14,1,1,0,14,1,7,0
81034,13,1,0,0,13,1,0,0
81035,12,1,0,0,12,1,0,0
81036,14,1,2,1,14,1,0.0,18.0
81037,18,2,1,0,18,2,2,0
81038,8,1,1,0,8,1,8,0
81039,8,2,2,0,8,2,4,0
81040,27,1,3,0,27,1,52,0
81041,11,1,0,0,11,1,0,0
81042,22,2,0,0,22,2,0,0
81043,21,1,1,0,21,1,9,0
81044,24,2,4,1,24,2,22,2
81045,6,1,0,0,6,1,0,0
81046,15,1,0,1,15,1,0.0,9.0
81047,27,1,4,5,27,1,51,72
81048,7,1,0,0,7,1,0,0
81049,9,1,1,0,9,1,5,0
81050,14,1,0,1,14,1,0.0,8.0
81051,22,1,5,2,22,1,52,13
81052,34,2,0,0,34,2,0,0
81053,28,1,0,0,28,1,0,0
81054,48,5,2,3,48,5,11,11
81055,23,2,0,0,23,2,0,0
81056,26,1,1,1,26,1,14,3
81057,40,2,2,1,40,2,15.0,36.0
81058,40,1,1,3,40,1,11,69
81059,19,1,0,1,19,1,0,4
81060,31,1,1,1,31,1,19,29
81061,27,3,0,0,27,3,0,0
81062,18,1,0,1,18,1,0,4
81063,10,1,0,0,10,1,0,0
81064,16,1,1,1,16,1,1.0,2.0
81065,18,1,0,2,18,1,0,5
81066,79,4,4,3,79,4,19.0,82.0
81067,78,4,4,2,78,4,19.0,50.0
81068,38,1,4,1,38,1,94,21
81069,111,1,5,8,111,1,768.0,1211.0
81070,9,1,0,1,9,1,0,3
81071,5,1,0,0,5,1,0,0
81072,29,2,0,3,29,2,0,32
81073,30,1,1,0,30,1,18,0
81074,11,2,0,0,11,2,0,0
81075,11,1,0,2,11,1,0,13
81076,8,1,1,0,8,1,5,0
81077,12,1,0,1,12,1,0,2
81078,47,1,4,1,47,1,47.0,29.0
81079,16,1,1,1,16,1,-9.0,2.0
81080,7,1,0,1,7,1,0,1
81081,40,1,5,1,40,1,70,12
81082,30,2,2,2,30,2,18.0,80.0
81083,16,2,3,0,16,2,9,0
81084,20,1,1,0,20,1,18.0,0.0
81085,11,1,2,0,11,1,17,0
